id	aspect	direct	factual	opinion	comp	question	dataset
11	1	0	1	0	1	What’s the least common multiple of 5 and 150	g
23	1	0	1	0	1	what is a common reason to file a suspicious activity report	g
184	0	1	1	0	1	What isan important difference between cpi and the gdp deflator is	g
266	1	0	1	0	1	What are the top 10 best songs with over a billion views	g
290	1	0	0	0	1	which idea best describes an element of an unlimited government	g
316	1	0	1	0	1	which statement best describes the slaves in ancient athens	g
337	0	0	0	0	1	what are the different political parties in the united states	g
348	1	0	1	0	1	which term best describes the type of government the united states has	g
349	1	0	0	1	1	who is best known for his advocacy of laissez-faire as the guiding principle for economic policy	g
352	1	0	0	1	1	who is the artist best known for the color purple	g
371	0	1	0	1	1	which is better holiday inn or white christmas	g
409	0	1	0	1	1	why precision rectifier is better than ordinary rectifier	g
410	1	1	1	0	1	which stadium is bigger real madrid or barcelona	g
425	0	0	1	0	1	what is the second biggest ship in the world	g
444	0	1	0	1	1	how close is an alaskan malamute to a wolf	g
523	0	0	0	0	1	what is common among all rr lyrae stars	g
536	0	1	1	0	1	what is common to ostrich emu and kiwi	g
579	0	1	1	0	1	how does the jewish calendar compared to our calendar	g
589	1	1	1	0	1	what is the effect of full annealing compared to normalizing	g
645	0	1	1	0	1	What is the difference between 38 special and 38 long colt	g
660	0	1	1	0	1	What is the difference between an o ring and x ring chain	g
691	0	1	1	0	1	What is the difference between arithmetic logic unit and control unit	g
698	0	1	1	0	1	What is the difference between common method variance and common method bias	g
699	0	1	1	0	1	What is the difference between grade i and grade ii listed buildings	g
705	0	1	1	0	1	What is the difference between half rate and full rate in gsm	g
710	0	1	1	0	1	What is the difference between hiatal hernia and sliding hiatal hernia	g
716	0	1	1	0	1	What is the difference between jellyfish and portuguese man of war	g
747	0	1	0	1	1	'is a bachelor''s degree the same as an honours degree'	g
762	0	1	1	0	1	What is the difference between joint stock company and company in india	g
820	0	1	1	0	1	What is the difference between judge and justice of the peace	g
833	0	1	1	0	1	What is the difference between magnetic south pole and geographic north pole	g
848	0	1	1	0	1	What is the difference between material safety data sheet and safety data sheet	g
863	0	1	1	0	1	What is the difference between neuromuscular junction and motor end plate	g
897	0	1	1	0	1	What is the difference between pin diode and pn junction diode	g
914	0	1	1	0	1	What is the difference between preparatory and payoff phase of glycolysis	g
915	0	1	1	0	1	What is the difference between safety relief valve and pressure relief valve	g
972	0	1	1	0	1	What is the difference between single cut and double cut files	g
1044	0	1	1	0	1	What is the difference between standing wave flume and venturi flume	g
1065	0	1	1	0	1	What is the difference between top of the lake and china girl	g
1067	0	1	1	0	1	what is difference between north america and south america	g
1093	0	1	1	0	1	how are red giants different from main sequence stars	g
1099	0	1	1	0	1	in what way is the soil in the delta of the river ganga different from that of the river godavari	g
1105	1	0	0	0	1	what was different about the election of 1920 concerning the 19th amendment	g
1142	0	1	1	0	1	why is the length of a lunar day different from the length of a solar day	g
1231	0	0	1	0	1	'who was india''s first woman judge in supreme court'	g
1244	1	0	1	0	1	Who was the first african american gymnast to go to the olympics	g
1280	1	0	1	0	1	Who was the first first european known to have crossed the mississippi river (2 wds.)	g
1313	1	0	1	0	1	'who was india''s first olympic medal win as a free nation'	g
1331	1	1	1	0	1	what was made first disneyland or disney world	g
1358	0	1	1	0	1	which book is first the davinci code or angels and demons	g
1369	1	1	1	0	1	which came first tcp/ip or osi	g
1392	1	1	1	0	1	which was a state first arkansas or kansas	g
1399	1	0	1	0	1	who built first airplanes for the united states navy in 1913	g
1401	0	1	0	0	1	is the riddler and the joker the same character	g
1415	1	0	1	0	1	who did the patriots play first this season	g
1425	1	0	1	0	1	'who recorded country music''s first big hit million seller record and what was the name of the song'	g
1436	0	1	1	0	1	who was first doctor fate or doctor strange	g
1448	0	1	0	0	1	what are two ways the caravel was different from other boats of its time	g
1450	0	0	1	0	1	what are the waves in order from smallest to biggest	g
1486	1	0	1	0	1	What is the highest exporter of natural gas in the middle east	g
1535	1	0	1	0	1	What are the highest grossing movies of all time in philippines	g
1540	1	0	1	0	1	What is the highest number of test wickets by fast bowler	g
1595	1	0	1	0	1	what is lebron james highest score in one game	g
1611	1	0	1	0	1	Which are the five largest states in the us by area	g
1619	1	0	1	0	1	What are the largest companies in the united states by market cap	g
1657	0	0	0	0	1	what are the different types of combustion engines	g
1672	1	0	1	0	1	What is the largest country in the world by land area	g
1692	0	0	1	0	1	What is sequoia national park largest tree in the world	g
1702	1	0	1	0	1	What are three largest cities in the world by population	g
1720	1	0	1	0	1	What are the top ten largest cities in canada by population	g
1749	0	0	1	0	1	what are the three largest cities in japan	g
1752	0	0	1	0	1	what are the three largest cities in mississippi	g
1770	0	0	1	0	1	'where is the world''s largest aquarium located'	g
1805	0	0	1	0	1	'who has the world''s largest standing army'	g
1818	1	0	1	0	1	Who was the last person to win triple crown in baseball	g
1858	1	0	1	0	1	who became athens leading philosopher during its golden age	g
1878	1	0	1	0	1	which letter of the english alphabet occurs least often in writing	g
1882	1	0	1	0	1	What is longest continuously serving female mp in house of commons	g
1902	1	0	1	0	1	what is the second longest running broadway show	g
1914	1	0	1	0	1	what is the trail blazers longest winning streak	g
1951	1	0	1	0	1	who has held the office of chief ministers for longest term	g
1953	1	0	1	0	1	who served as the union cabinet minister of agriculture for longest duration	g
1958	1	0	1	0	1	What is the state state with low level of urbanisation in india	g
1969	1	0	1	0	1	during what time of the year is the arctic sea ice extent normally at its lowest	g
2046	0	0	1	0	1	what are 2 major nascar events that occur in daytona beach	g
2047	1	0	1	0	1	who has scored many goals in the world cup 2018	g
2064	1	0	1	0	1	density of water is maximum at which temperature	g
2082	1	0	1	0	1	who has won maximum oscar in his lifetime	g
2096	1	1	1	0	1	does hong kong have more skyscrapers than new york	g
2112	1	0	0	1	1	what type of rainfall is more common in india and why	g
2130	1	1	1	0	1	who has more fans manchester united or city	g
2158	1	1	1	0	1	who has more nba championships the east or west	g
2163	1	1	1	0	1	who has played more games ronaldo or messi	g
2175	1	1	1	0	1	who has won more civil wars ducks or beavers	g
2186	1	1	1	0	1	who has won more games packers or bears	g
2214	0	0	0	0	1	who became the first leader of the united russia	g
2231	1	1	1	0	1	who has won more world series american or national	g
2246	1	1	1	0	1	who sold more albums carrie underwood vs kelly clarkson	g
2248	1	1	1	0	1	who sold more albums elvis or michael jackson	g
