sentence_id	words	labels
0	which	O
0	mba	OBJ
0	stream	OBJ
0	is	O
0	better	PRED
0	to	O
0	pursue	ASP
0	a	ASP
0	mechanical	ASP
0	engineer	ASP
0	as	ASP
0	fresher	ASP
1	what	O
1	is	O
1	the	O
1	best	PRED
1	use	OBJ
1	of	OBJ
1	a	OBJ
1	song	OBJ
1	during	OBJ
1	a	OBJ
1	movie	OBJ
1	or	OBJ
1	tv	OBJ
1	show	OBJ
1	scene	OBJ
2	who	OBJ
2	is	O
2	the	O
2	most	PRED
2	likely	ASP
2	next	ASP
2	president	ASP
3	what	O
3	books	OBJ
3	should	O
3	you	O
3	read	O
3	to	O
3	improve	ASP
3	your	ASP
3	programming	ASP
3	skills	ASP
4	what	O
4	are	O
4	the	O
4	cheapest	PRED
4	free	O
4	instagram	OBJ
4	bots	OBJ
4	that	OBJ
4	automatically	OBJ
4	like	OBJ
4	hashtags	OBJ
4	you	OBJ
4	recommend	OBJ
5	who	O
5	was	O
5	the	O
5	longest	PRED
5	ruling	ASP
5	non	OBJ
5	royal	OBJ
5	head	OBJ
5	of	OBJ
5	state	OBJ
5	post	OBJ
5	1900	OBJ
6	what	O
6	is	O
6	the	O
6	best	PRED
6	washing	OBJ
6	machine	OBJ
6	brand	OBJ
6	in	OBJ
6	india	OBJ
7	where	O
7	is	O
7	the	O
7	best	PRED
7	hangout	OBJ
7	cafe	OBJ
7	in	OBJ
7	hyderabad	OBJ
8	what	O
8	is	O
8	the	O
8	main	PRED
8	function	OBJ
8	of	OBJ
8	the	OBJ
8	peripheral	OBJ
8	nervous	OBJ
8	system	OBJ
9	which	O
9	is	O
9	the	O
9	best	PRED
9	business	OBJ
9	below	OBJ
9	10	OBJ
9	lakhs	OBJ
10	what	O
10	marinades	OBJ
10	are	O
10	the	O
10	best	PRED
10	for	O
10	tenderizing	ASP
10	pork	ASP
10	chops	ASP
11	what	O
11	are	O
11	the	O
11	best	PRED
11	resources	OBJ
11	for	O
11	learning	ASP
11	spanish	ASP
11	and	O
11	how	O
11	can	O
11	i	O
11	become	ASP
11	a	ASP
11	competent	ASP
11	speaker	ASP
11	reader	ASP
11	and	ASP
11	writer	ASP
11	of	ASP
11	the	ASP
11	spanish	ASP
11	language	ASP
12	what	O
12	foods	OBJ
12	burn	ASP
12	calories	ASP
12	faster	PRED
12	to	O
12	blast	ASP
12	that	ASP
12	fat	ASP
13	what	O
13	are	O
13	the	O
13	most	PRED
13	interesting	ASP
13	questions	OBJ
13	asked	OBJ
13	in	OBJ
13	any	OBJ
13	interview	OBJ
14	what	O
14	are	O
14	the	O
14	most	PRED
14	unusual	ASP
14	and	ASP
14	innovative	ASP
14	punishments	OBJ
14	that	OBJ
14	you	OBJ
14	have	OBJ
14	heard	OBJ
14	experienced	OBJ
14	in	OBJ
14	school	OBJ
15	which	O
15	are	O
15	the	O
15	best	PRED
15	ca	OBJ
15	firm	OBJ
15	for	OBJ
15	articleship	OBJ
15	in	OBJ
15	india	OBJ
16	what	O
16	is	O
16	the	O
16	second	PRED
16	biggest	PRED
16	ship	OBJ
16	in	OBJ
16	the	OBJ
16	world	OBJ
17	which	O
17	was	O
17	the	O
17	first	PRED
17	national	OBJ
17	park	OBJ
18	what	O
18	is	O
18	the	O
18	best	PRED
18	way	OBJ
18	to	OBJ
18	say	OBJ
18	thank	OBJ
18	you	OBJ
19	what	O
19	is	O
19	the	O
19	easiest	PRED
19	way	OBJ
19	to	OBJ
19	earn	OBJ
