sentence_id	words	labels
0	python	ASP
0	template	ASP
0	engines	ASP
0	what	O
0	are	O
0	the	O
0	real	O
0	benifits	PRED
0	and	PRED
0	drawbacks	PRED
0	to	O
0	xml	OBJ
0	vs	O
0	custom	OBJ
0	syntax	OBJ
1	what	O
1	s	O
1	the	O
1	better	PRED
1	way	O
1	to	O
1	charge	ASP
1	for	ASP
1	a	ASP
1	cloud	ASP
1	platform	ASP
1	simple	OBJ
1	but	OBJ
1	more	OBJ
1	expensive	OBJ
1	or	O
1	complicated	OBJ
1	but	OBJ
1	cheaper	OBJ
1	for	O
1	most	O
2	what	O
2	are	O
2	the	O
2	differences	PRED
2	between	O
2	through	O
2	and	O
2	thru	OBJ
3	are	O
3	there	O
3	any	O
3	risks	ASP
3	down	O
3	the	O
3	line	O
3	choosing	OBJ
3	maths	OBJ
3	vs	O
3	stats	OBJ
3	phd	OBJ
3	programme	OBJ
4	who	O
4	has	O
4	more	PRED
4	fans	ASP
4	manchester	OBJ
4	united	OBJ
4	or	O
4	city	OBJ
5	what	O
5	is	O
5	the	O
5	difference	PRED
5	between	O
5	data	OBJ
5	analyticis	OBJ
5	and	O
5	data	OBJ
5	mining	OBJ
6	what	O
6	was	O
6	the	O
6	significance	OBJ
6	of	OBJ
6	the	OBJ
6	battle	OBJ
6	of	OBJ
6	somme	OBJ
6	and	O
6	how	O
6	did	O
6	this	O
6	battle	O
6	compare	PRED
6	and	PRED
6	contrast	PRED
6	to	O
6	the	O
6	battle	OBJ
6	of	OBJ
6	penang	OBJ
7	are	O
7	abraham	OBJ
7	and	O
7	brahma	OBJ
7	same	PRED
8	what	O
8	are	O
8	the	O
8	main	PRED
8	differences	PRED
8	between	O
8	a	O
8	function	OBJ
8	a	O
8	method	OBJ
8	a	O
8	procedure	OBJ
8	and	O
8	a	O
8	subroutine	OBJ
9	what	O
9	are	O
9	the	O
9	difference	PRED
9	between	O
9	spores	OBJ
9	and	O
9	gametes	OBJ
10	why	O
10	do	O
10	you	OBJ
10	think	O
10	you	O
10	are	O
10	superior	PRED
10	to	O
10	most	OBJ
10	of	OBJ
10	the	OBJ
10	people	OBJ
10	around	OBJ
10	you	OBJ
11	why	O
11	is	O
11	the	O
11	length	OBJ
11	of	OBJ
11	a	OBJ
11	lunar	OBJ
11	day	OBJ
11	different	PRED
11	from	O
11	the	O
11	length	OBJ
11	of	OBJ
11	a	OBJ
11	solar	OBJ
11	day	OBJ
12	do	O
12	you	O
12	think	O
12	that	O
12	it	O
12	is	O
12	easier	PRED
12	to	O
12	learn	ASP
12	new	ASP
12	subjects	ASP
12	by	OBJ
12	yourself	OBJ
12	or	O
12	do	O
12	you	O
12	think	O
12	it	O
12	is	O
12	better	PRED
12	to	O
12	have	OBJ
12	a	OBJ
12	teacher	OBJ
13	what	O
13	sea	OBJ
13	creature	OBJ
13	has	O
13	the	O
